"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 26 02:53:08 UTC 2023","Sun Nov 26 02:53:08 UTC 2023","384","","6. Company Account","","","","9. Review Final Review",""
"passed","Sun Nov 26 02:52:24 UTC 2023","Sun Nov 26 02:52:28 UTC 2023","4613","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Sun Nov 26 02:45:58 UTC 2023","Sun Nov 26 02:46:01 UTC 2023","3106","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","8. Navigate from Applicants to Bank Details",""
"passed","Sun Nov 26 03:04:54 UTC 2023","Sun Nov 26 03:04:56 UTC 2023","2238","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Sun Nov 26 03:51:13 UTC 2023","Sun Nov 26 03:52:25 UTC 2023","72903","","22. Individual Onboarding for Interactive Brokers","","","","14. Complete Final Review",""
"passed","Sun Nov 26 03:45:33 UTC 2023","Sun Nov 26 03:45:40 UTC 2023","6519","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Sun Nov 26 03:48:35 UTC 2023","Sun Nov 26 03:48:40 UTC 2023","4608","","22. Individual Onboarding for Interactive Brokers","","","","7.Complete Screen and Tilts",""
"passed","Sun Nov 26 03:04:02 UTC 2023","Sun Nov 26 03:04:15 UTC 2023","12783","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Sun Nov 26 02:28:10 UTC 2023","Sun Nov 26 02:28:35 UTC 2023","24797","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","5. Navigate to Build Your Portfolio from Investment Choice",""
"passed","Sun Nov 26 02:39:09 UTC 2023","Sun Nov 26 02:39:14 UTC 2023","4762","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Sun Nov 26 03:50:22 UTC 2023","Sun Nov 26 03:50:27 UTC 2023","4944","","22. Individual Onboarding for Interactive Brokers","","","","11. Complete Compliance",""
"passed","Sun Nov 26 03:48:06 UTC 2023","Sun Nov 26 03:48:32 UTC 2023","25764","","22. Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Sun Nov 26 03:05:09 UTC 2023","Sun Nov 26 03:05:10 UTC 2023","784","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"passed","Sun Nov 26 03:30:54 UTC 2023","Sun Nov 26 03:30:56 UTC 2023","2475","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
